ICR,Race,TwoBlocks
15001710,Black,0
15001729,Black,0
15001737,Black,0
15001744,Black,0
15001762,Black,0
15001762,Black,0
15001778,Black,0
15001369,Black,0
15001803,Black,0
15001906,Black,0
15001916,Black,0
15001916,Black,0
15001917,Black,0
15001920,Black,0
15001924,Black,0
15001926,Black,0
15001930,Black,0
15001937,Black,0
15001938,Black,0
15001952,Black,0
15001966,Black,0
15001973,Black,0
15001975,Black,0
15001975,Black,0
15001984,Black,0
15002011,Black,0
15002011,Black,0
15002040,Black,0
15002078,Black,0
15002080,Black,0
15002087,Black,0
15002088,Black,0
15002109,Black,0
15002115,Black,0
15002122,Black,0
15002152,Black,0
15002156,Black,0
15002158,Black,0
15002166,Black,0
15002183,Black,0
15002192,Black,0
15002229,Black,0
15002232,Black,0
15002238,Black,0
15002244,Black,0
15002258,Black,0
15002262,Black,0
15002269,Black,0
15002271,Black,0
15002298,Black,0
15002301,Black,0
15002312,Black,0
15002326,Black,0
15002337,Black,0
15002346,Black,0
15002370,Black,0
15002385,Black,0
15002394,Black,0
15002436,Black,0
15002439,Black,0
15002451,Black,0
15002448,Black,0
15002473,Black,0
15002480,Black,0
15002512,Black,0
15002529,Black,0
15002534,Black,0
15002540,Black,0
15002547,Black,0
15002548,Black,0
15002557,Black,0
15002557,Black,0
15002559,Black,0
15002567,Black,0
15002584,Black,0
15002592,Black,0
15002605,Black,0
15002608,Black,0
15002640,Black,0
15002641,Black,0
15002642,Black,0
15002665,Black,0
15002667,Black,0
15002680,Black,0
15002725,Black,0
15002732,Black,0
15002739,Black,0
15002751,Black,0
15002756,Black,0
15002787,Black,0
15002790,Black,0
15002811,Black,0
15002813,Black,0
15002869,Black,0
15002906,Black,0
15002922,Black,0
15002953,Black,0
15003025,Black,0
15002809,Black,0
15003070,Black,0
15002515,Black,0
15003107,Black,0
15003121,Black,0
15003126,Black,0
15003142,Black,0
15003151,Black,0
15003167,Black,0
15003208,Black,0
15003218,Black,0
15003221,Black,0
15003228,Black,0
15003248,Black,0
15003259,Black,0
15003265,Black,0
15003328,Black,0
15003330,Black,0
15003338,Black,0
15003352,Black,0
15003366,Black,0
15003369,Black,0
15003372,Black,0
15003389,Black,0
15003400,Black,0
15003404,Black,0
15003404,Black,0
15003407,Black,0
15003408,Black,0
15003426,Black,0
15003448,Black,0
15003456,Black,0
15003464,Black,0
15003471,Black,0
15003482,Black,0
15003486,Black,0
15003511,Black,0
15003574,Black,0
15003580,Black,0
15003674,Black,0
15003673,Black,0
15003679,Black,0
15003689,Black,0
15003716,Black,0
15003725,Black,0
15003735,Black,0
15003756,Black,0
15003756,Black,0
15003766,Black,0
15003784,Black,0
15003787,Black,0
15003794,Black,0
15003800,Black,0
15003812,Black,0
15003817,Black,0
15003886,Black,0
15003874,Black,0
15003859,Black,0
15003942,Black,0
15003962,Black,0
