ICR,Race,TwoBlocks
16005374,White,0
16005380,White,0
16005381,White,0
16005400,White,0
16005402,White,0
16005403,White,0
16005404,White,0
16005442,White,0
16005459,White,0
16005467,White,0
16005471,White,0
16005479,White,0
16005480,White,0
16005482,White,0
16005484,White,0
16005486,White,0
16005490,White,0
16005494,White,0
16005495,White,0
16005499,White,0
16005500,White,0
16005502,White,0
16005507,White,0
16005536,White,0
16005539,White,0
16005550,White,0
16005567,White,0
16005573,White,0
16005588,White,0
16005592,White,0
16005599,White,0
16005607,White,0
16005610,White,0
16005611,White,0
16005644,White,0
16005648,White,0
16005649,White,0
16005650,White,0
16005651,White,0
16005652,White,0
16005695,White,0
16005712,White,0
16005732,White,0
15000003,Black,0
15000017,Black,0
15000041,Black,0
15000080,Black,0
15000105,Black,0
15000168,Black,0
15000201,Black,0
15000202,Black,0
15000204,Black,0
15000242,Black,0
15000246,Black,0
15000251,Black,0
15000252,Black,0
15000310,Black,0
15000332,Black,0
15000347,Black,0
15000364,Black,0
15000375,Black,0
15000419,Black,0
15000484,Black,0
15000510,Black,0
15000523,Black,0
15000531,Black,0
15000620,Black,0
15000654,Black,0
15000660,Black,0
15000724,Black,0
15000838,Black,0
15000844,Black,0
15000848,Black,0
15000874,Black,0
15000883,Black,0
15000891,Black,0
15000903,Black,0
15000954,Black,0
15000957,Black,0
15000969,Black,0
15000972,Black,0
15000992,Black,0
15001049,Black,0
15001076,Black,0
15001118,Black,0
15001133,Black,0
15001150,Black,0
15001236,Black,0
15001249,Black,0
15001305,Black,0
15001306,Black,0
15001319,Black,0
15001429,Black,0
15001441,Black,0
15001463,Black,0
15001504,Black,0
15001521,Black,0
15001533,Black,0
15001639,Black,0
15001645,Black,0
15001679,Black,0
15001754,Black,0
15001788,Black,0
15001864,Black,0
15001875,Black,0
15001878,Black,0
15001891,Black,0
15001895,Black,0
15001970,Black,0
15002031,Black,0
15002064,Black,0
15002085,Black,0
15002129,Black,0
15002208,Black,0
15002234,Black,0
15002288,Black,0
15002319,Black,0
15002331,Black,0
15002336,Black,0
15002365,Black,0
15002391,Black,0
15002395,Black,0
15002400,Black,0
15002408,Black,0
15002457,Black,0
15002460,Black,0
15002475,Black,0
15002553,Black,0
15002572,Black,0
15002630,Black,0
15002631,Black,0
15002657,Black,0
15002659,Black,0
15002663,Black,0
15002714,Black,0
15002724,Black,0
15002737,Black,0
15002764,Black,0
15002804,Black,0
15002808,Black,0
15002820,Black,0
15002830,Black,0
15002904,Black,0
15002919,Black,0
15002931,Black,0
15002932,Black,0
15002933,Black,0
15002957,Black,0
15002988,Black,0
15002991,Black,0
15003028,Black,0
15003029,Black,0
15003165,Black,0
15003242,Black,0
15003304,Black,0
15003314,Black,0
15003431,Black,0
15003434,Black,0
15003460,Black,0
15003466,Black,0
15003487,Black,0
15003542,Black,0
15003546,Black,0
15003593,Black,0
15003657,Black,0
15003661,Black,0
15003662,Black,0
15003675,Black,0
15003762,Black,0
15003764,Black,0
15003921,Black,0
15003939,Black,0
15003946,Black,0
15003958,Black,0
15003959,Black,0
15003997,Black,0
15004019,Black,0
15004163,Black,0
15004203,Black,0
15004225,Black,0
15004240,Black,0
15004267,Black,0
15004312,Black,0
15004318,Black,0
15004323,Black,0
15004407,Black,0
15004437,Black,0
15004438,Black,0
15004446,Black,0
15004451,Black,0
15004510,Black,0
15004582,Black,0
15004605,Black,0
15004646,Black,0
15004720,Black,0
15004722,Black,0
15004731,Black,0
15004734,Black,0
15004754,Black,0
15004768,Black,0
15004774,Black,0
15004775,Black,0
15004804,Black,0
15004841,Black,0
15004850,Black,0
15004893,Black,0
15004913,Black,0
15004923,Black,0
15004925,Black,0
15004929,Black,0
15004973,Black,0
15004990,Black,0
15004999,Black,0
15005060,Black,0
15005071,Black,0
15005110,Black,0
15005166,Black,0
15005242,Black,0
15005340,Black,0
15005357,Black,0
15005367,Black,0
15005372,Black,0
15005392,Black,0
15005393,Black,0
15005399,Black,0
15005425,Black,0
15005429,Black,0
15005489,Black,0
15005611,Black,0
15005614,Black,0
15005615,Black,0
15005632,Black,0
15005634,Black,0
15005688,Black,0
15005805,Black,0
15005854,Black,0
15005868,Black,0
15005889,Black,0
15005897,Black,0
15006011,Black,0
15006027,Black,0
15006030,Black,0
15006046,Black,0
15006124,Black,0
15006134,Black,0
15006135,Black,0
15006174,Black,0
15006197,Black,0
15006205,Black,0
15006359,Black,0
15006361,Black,0
15006375,Black,0
15006385,Black,0
15006392,Black,0
15006411,Black,0
15006443,Black,0
15006445,Black,0
15006454,Black,0
15006474,Black,0
15006490,Black,0
15006557,Black,0
15006564,Black,0
15006568,Black,0
15006569,Black,0
15006576,Black,0
15006580,Black,0
15006594,Black,0
15006601,Black,0
15006617,Black,0
15006619,Black,0
15006633,Black,0
15006638,Black,0
15006669,Black,0
15006671,Black,0
15006672,Black,0
15006684,Black,0
15006724,Black,0
15006726,Black,0
15006754,Black,0
15006759,Black,0
15006805,Black,0
15006810,Black,0
15006877,Black,0
15006880,Black,0
15006882,Black,0
15006930,Black,0
15006958,Black,0
15006972,Black,0
15006988,Black,0
15006990,Black,0
15006992,Black,0
15006997,Black,0
15007008,Black,0
15007029,Black,0
15007036,Black,0
15007049,Black,0
15007077,Black,0
15007121,Black,0
15007138,Black,0
15007140,Black,0
15007160,Black,0
15007187,Black,0
15007190,Black,0
15007215,Black,0
15007220,Black,0
15007236,Black,0
15007255,Black,0
15007369,Black,0
15007425,Black,0
15007429,Black,0
15007461,Black,0
15007464,Black,0
15007469,Black,0
15007471,Black,0
15007483,Black,0
15007525,Black,0
15007561,Black,0
15007563,Black,0
15007613,Black,0
15007685,Black,0
15007691,Black,0
15007743,Black,0
15007748,Black,0
15007784,Black,0
15007805,Black,0
15007813,Black,0
15007830,Black,0
15007899,Black,0
15007904,Black,0
15007905,Black,0
15007908,Black,0
15007913,Black,0
15007925,Black,0
15007932,Black,0
15007938,Black,0
15007968,Black,0
15008092,Black,0
15008136,Black,0
15008141,Black,0
15008148,Black,0
15008276,Black,0
15008279,Black,0
15008284,Black,0
15008303,Black,0
15008370,Black,0
15008517,Black,0
15008524,Black,0
15008530,Black,0
15008618,Black,0
15008644,Black,0
15008660,Black,0
15008780,Black,0
15008813,Black,0
15008872,Black,0
15008926,Black,0
15008995,Black,0
15009023,Black,0
15009038,Black,0
15009112,Black,0
15009130,Black,0
15009133,Black,0
15009165,Black,0
15009185,Black,0
15009218,Black,0
15009255,Black,0
15009267,Black,0
15009303,Black,0
15009357,Black,0
15009372,Black,0
15009379,Black,0
15009384,Black,0
15009390,Black,0
15009391,Black,0
15009393,Black,0
15009405,Black,0
15009478,Black,0
15009499,Black,0
15009500,Black,0
15009501,Black,0
15009559,Black,0
15009587,Black,0
15009602,Black,0
15009608,Black,0
15009676,Black,0
15009728,Black,0
15009730,Black,0
15009743,Black,0
15009759,Black,0
15009761,Black,0
15009773,Black,0
15009776,Black,0
15009782,Black,0
15009793,Black,0
15009897,Black,0
15009926,Black,0
15009948,Black,0
15009949,Black,0
15009975,Black,0
15010006,Black,0
15010015,Black,0
15010016,Black,0
15010060,Black,0
15010064,Black,0
15010101,Black,0
15010152,Black,0
15010183,Black,0
15010226,Black,0
15010239,Black,0
15010257,Black,0
15010280,Black,0
15010288,Black,0
15010290,Black,0
15010312,Black,0
15010308,Black,0
15010400,Black,0
15010429,Black,0
15010430,Black,0
15010590,Black,0
15010597,Black,0
15010620,Black,0
15010679,Black,0
15010713,Black,0
15010732,Black,0
15010754,Black,0
15010760,Black,0
15010820,Black,0
15010828,Black,0
15010912,Black,0
15010913,Black,0
15010943,Black,0
15010974,Black,0
15011054,Black,0
15011159,Black,0
15011172,Black,0
